group,relquant
PA1_4_JAN,5.69
BP5_3_JAN,3.18
PA5_1_JAN,1.46
PA4_3_JAN,0.70
PA4_1_JAN,3.43
BP5_1_JAN,4.50
PA1_3_JAN,2.95
PA4_4_JAN,2.46
PA4_5_JAN,1.19
BP1_5_JAN,4.16
PA5_4_JAN,0.26
PA5_3_JAN,0.23
BP5_5_JAN,2.26
BP4_2_JAN,1.76
BP4_1_JAN,1.17
BP5_4_FEV,10.12
BP4_4_JAN,1.37
BP4_3_JAN,5.77
PA4_1_FEV,5.78
PA5_2_FEV,6.80
PA5_3_FEV,7.32
BP1_3_JAN,3.12
PA1_1_FEV,4.13
BP4_5_JAN,12.28
PA4_2_FEV,6.37
PA4_3_FEV,3.31
PA5_5_FEV,5.98
BP5_3_FEV,7.12
BP5_2_FEV,1.57
BP5_2_ABR,4.14
BP1_2_JAN,4.17
BP1_1_JAN,9.31
BP1_4_JAN,7.70
PA5_5_MAR,2.25
BP5_3_ABR,2.43
PA5_1_FEV,3.45
PA4_1_MAR,9.33
PA5_1_MAR,2.03
BP5_5_FEV,5.78
PA5_2_MAR,3.60
PA1_2_MAR,5.87
PA1_2_FEV,5.75
BP1_2_FEV,3.10
BP4_4_FEV,7.24
PA1_3_MAR,2.98
PA4_2_MAR,5.92
BP4_2_FEV,8.16
BP5_1_FEV,24.18
BP4_1_FEV,7.69
BP4_5_FEV,7.95
PA4_5_MAR,46.15
BP1_4_FEV,10.41
BP1_3_FEV,13.57
PA4_3_MAR,18.01
BP4_3_FEV,28.12
PA5_4_ABR,15.72
BP1_1_MAR,6.20
PA5_1_ABR,9.86
BP1_4_MAR,8.65
BP1_2_MAR,10.68
BP5_3_MAR,14.41
BP1_3_MAR,4.97
BP5_2_MAR,14.48
BP5_4_MAR,7.48
PA5_2_ABR,14.99
BP4_5_MAR,9.84
BP5_5_MAR,14.99
BP4_3_MAR,3.86
BP4_1_MAR,34.47
BP5_1_MAR,11.68
PA4_4_MAR,10.56
BP1_1_ABR,20.91
BP1_3_ABR,3.53
BP5_1_ABR,2.84
PA1_5_ABR,3.15
BP1_5_ABR,5.39
PA4_5_ABR,15.07
PA4_1_ABR,10.19
PA4_2_ABR,18.23
PA1_2_ABR,5.88
BP1_5_MAR,9.02
BP5_5_ABR,0.34
BP5_4_ABR,2.11
BP1_2_ABR,1.88
BP4_5_ABR,7.58
BP4_3_ABR,3.87
PA1_3_ABR,13.63
BP4_4_ABR,1.72
PA4_3_ABR,3.65
BP1_4_ABR,18.18
BP5_2_JAN,10.76
PA1_5_FEV,7.47
PA4_4_FEV,3.23
PA4_5_FEV,6.44
BP1_1_FEV,8.42
PA1_1_MAR,9.45
PA1_4_MAR,9.92
AP1_5_MAR,5.63
PA5_3_MAR,5.51
PA5_4_MAR,5.31
